stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,ObjectId,GlobalID,x,y
U17530Z1,"Pustiměř, rozcestí",49.319048,17.026062,750,0,U17530N2407,2\,,5683,663178fd-1bae-4ab8-9176-432a3cb466f3,1895332.55205471,6329171.58062368
U18072Z1,"Znojmo, Mramotice, u čekárny",48.903026,15.99921,800,0,U18072N2512,2\,,5684,ea4c06be-c89c-4c9e-933a-322015f93391,1781023.91029465,6258422.92510206
U18229Z31,"Němčičky, rozcestí",48.939468,16.083075,823,0,U18229N1960,2\,,5685,6372cbc8-40fa-4579-a46d-ecd9f549ba5f,1790359.71939003,6264596.61453933
U19201Z1,Radějov,48.857551,17.346814,925,0,U19201N2348,2\,,5686,36c07aed-c308-4804-9e89-d23b66eadb0d,1931038.50136563,6250725.25311838
U17517Z2,"Medlovice, rozcestí",49.278005,17.092345,750,0,U17517N2431,2\,,5687,48b6c92a-f0ec-4089-b9f8-6dbb47f7b6e1,1902711.14186296,6322165.35335066
U16634Z2,Malínky,49.159158,17.161372,667,0,U16634N2305,2\,,5688,c6981d72-5ffc-4e26-b217-29cd61822afe,1910395.19235394,6301910.4525123
U17532Z1,"Pustiměř, ZŠ",49.322314,17.029593,750,0,U17532N2408,2\,,5689,c3fec24b-29b8-4164-afee-3cd6934e9667,1895725.6211767,6329729.35244584
U18073Z1,"Znojmo, Mramotice, u školky",48.90424,16.001594,800,0,U18073N2569,2\,,5690,f4174814-5b42-41db-9c44-780ea1d09b2e,1781289.2959607,6258628.51800592
U18136Z31,Plaveč,48.929175,16.079838,812,0,U18136N1910,2\,,5691,7d027475-bb57-46af-851b-e4eae48e2187,1789999.37819833,6262852.40668218
U19201Z2,Radějov,48.857712,17.346683,925,0,U19201N2348,2\,,5692,5b200a1f-bd82-45d5-9627-c74b1f1a05ff,1931023.91851234,6250752.49366869
U17519Z2,Rybníček,49.275875,17.072653,750,0,U17519N2430,2\,,5693,533555cd-af32-463f-9a77-b05c76364612,1900519.03845025,6321801.91182579
U16625Z2,"Brankovice, křižovatka",49.153328,17.135862,655,0,U16625N2304,2\,,5694,b6f5cd13-f6f1-4abe-aec9-161b9e65e657,1907555.43214381,6300918.10681229
U17521Z1,Drysice,49.33511,17.058455,750,0,U17521N2409,2\,,5695,7336176a-2a74-4837-a589-1860b27e9272,1898938.52431997,6331915.0268122
U18147Z1,"Kravsko, u hřbitova",48.917812,15.99162,815,0,U18147N2568,2\,,5696,e281d839-c389-4cf6-8bba-677862d21400,1780178.99535953,6260927.29870827
U19203Z2,"Radějov, škola",48.862211,17.340169,925,0,U19203N2347,2\,,5697,c136db7e-2c7b-4837-bbe9-6339dd055ab6,1930298.78334931,6251513.7417491
U17512Z2,"Rybníček, statek",49.277858,17.065532,750,0,U17512N2429,2\,,5698,a719481b-dcd8-485b-8421-407c85b28073,1899726.33235632,6322140.27026232
U18138Z31,"Únanov, obecní úřad",48.900605,16.06351,812,0,U18138N908,2\,,5699,8994d2f1-f9fb-4d2d-af84-3a73283c82a2,1788181.75355266,6258012.93966578
U16413Z1,"Kojátky, Šardičky",49.174402,17.030752,645,0,U16413N2308,2\,,5700,11ec78d9-0f62-4dba-9f2c-d72979e6a2db,1895854.64046653,6304505.74186593
U18145Z3,"Kravsko, u kovárny",48.920427,15.987047,815,0,U18145N2567,2\,,5701,48c25cda-d887-4aeb-a762-cb19379468d6,1779669.93132813,6261370.29056498
U17607Z1,"Želeč, křižovatka",49.347661,17.092356,750,0,U17607N2410,2\,,5702,a8bf51ec-976d-4e83-956b-7aee68628ee7,1902712.36637735,6334059.4049915
U18139Z31,"Únanov, závod",48.888422,16.064178,812,0,U18139N907,2\,,5703,e8e9dac3-8f3f-4826-b7c7-c466e7845fad,1788256.11497251,6255950.10488808
U18146Z1,"Kravsko, škola",48.91755,15.985458,815,0,U18146N2566,2\,,5704,25f44df9-0400-4f68-b889-02ce7d696eb2,1779493.04465726,6260882.91609873
U19212Z2,"Strážnice, Vinohrady",48.883081,17.320048,925,0,U19212N2346,2\,,5705,92213210-3a24-488f-8985-67212c4228cd,1928058.92387506,6255045.92119612
U16414Z2,"Kojátky, dědina",49.171662,17.028202,645,0,U16414N2309,2\,,5706,1dc88910-e835-4603-89c1-27e31ccefd6b,1895570.775765,6304039.19825522
U17527Z2,"Hoštice-Heroltice, Heroltice, rozcestí",49.285142,17.057323,750,0,U17527N2428,2\,,5707,c42d596f-bded-400e-a30c-e5d89cef5fb6,1898812.51065639,6323383.25282391
U17608Z1,Želeč,49.345695,17.097255,750,0,U17608N2411,2\,,5708,3e269b88-f09f-4a82-af7f-41bb2a62eeaa,1903257.72056275,6333723.47152434
U18234Z3,"Tvořihráz, obecní úřad",48.918997,16.139197,822,0,U18234N911,2\,,5709,0fdf5416-e42b-4c77-aa56-4ee29ada7b56,1796607.19185233,6261128.03975446
U18502Z2,"Moravské Budějovice, autobusové nádraží",49.056355,15.808013,855,0,U18502N2570,2\,,5710,e134f09b-77f2-4942-b310-ebc037aafcc4,1759739.95761345,6284429.07379858
U19208Z2,"Strážnice, Radějovská",48.8936,17.312618,925,0,U19208N2345,2\,,5711,a4e616d4-6997-45ef-9889-cf5d2bdb92c1,1927231.82005846,6256826.78634109
U16412Z2,"Kojátky, Kaštanov",49.169503,17.023095,645,0,U16412N2310,2\,,5712,35241592-8b8f-4166-b5d7-b79d3b1e8335,1895002.26712552,6303671.60051151
U17505Z3,"Prusy-Boškůvky, Moravské Prusy, křiž.",49.25485,17.05841,750,0,U17505N2423,2\,,5713,7c9399e5-5428-4cc0-86aa-0d6bcce50112,1898933.51494289,6318215.2615321
U17607Z4,"Želeč, křižovatka",49.348009,17.093121,750,0,U17607N2410,2\,,5714,89455f81-0e01-4090-a95a-ffa466869ba7,1902797.52578781,6334118.86968924
U18301Z5,"Horní Dunajovice, obecní úřad",48.950265,16.15987,831,0,U18301N856,2\,,5715,8eea680d-51cb-484f-a8b8-f3ce0a6962e0,1798908.4996855,6266426.61466861
U18504Z2,"Moravské Budějovice, Tyršova",49.04912,15.815073,855,0,U18504N2571,2\,,5716,1cc0d2aa-ad34-4f1f-b8a9-a73b502f5b6d,1760525.87321845,6283200.14389917
U19205Z7,"Strážnice, aut. st.",48.898113,17.316106,925,0,U19205N188,2\,,5717,544a9436-84e5-425f-94f8-8113d90be38d,1927620.10244235,6257590.95144012
U16431Z1,"Bučovice, Černčín",49.156218,17.028398,645,0,U16431N2311,2\,,5718,ce841dde-47d1-4413-83b6-2ab8e4259305,1895592.5943852,6301410.00972175
U17504Z1,"Prusy-Boškůvky, Boškůvky",49.259318,17.073307,750,0,U17504N2437,2\,,5719,a9fe980e-3cda-4b61-9dab-aaaafb7e28dd,1900591.84139723,6318977.328841
U17608Z2,Želeč,49.346092,17.096583,750,0,U17608N2411,2\,,5720,77a4c920-2251-4f24-99f4-197cc53059c3,1903182.91386494,6333791.30644804
U18309Z4,"Želetice, škola",48.93887,16.181972,831,0,U18309N859,2\,,5721,55691287-dd4c-4ac5-b8a7-019d6021fbfb,1801368.88307101,6264495.27017057
U18508Z2,"Moravské Budějovice, Lažínky",49.035189,15.833194,855,0,U18508N2572,2\,,5722,54be6a79-ba1e-4972-819e-5ea90aae3365,1762543.09371111,6280834.34167499
U19219Z1,"Strážnice, ZŠ Marie Kudeříkové",48.900821,17.312421,925,0,U19219N2349,2\,,5723,c98786e0-89a5-493c-82ad-44af53592b8c,1927209.89011878,6258049.51748519
U16430Z2,"Bučovice, Černčín, ZD",49.15532,17.021122,645,0,U16430N2312,2\,,5724,8fa050b5-c6f5-4ab1-9302-57bbabc50b71,1894782.63377019,6301257.15930841
U17456Z2,"Vyškov, sídliště Víta Nejedlého statek",49.303283,16.989897,740,0,U17456N2438,2\,,5725,96bc35c8-10ec-4a0e-aa3b-bb77635488bf,1891306.68267017,6326479.73302405
U17521Z2,Drysice,49.334548,17.056943,750,0,U17521N2409,2\,,5726,80d14129-ec6b-4355-9fbe-95f439b5bf70,1898770.20924989,6331819.02012025
U18222Z3,Stošíkovice na Louce,48.89529,16.214773,820,0,U18222N295,2\,,5727,05a1364b-05e9-419f-bdd4-a095f4cd7022,1805020.27368852,6257112.93802574
U18509Z2,"Moravské Budějovice, Vesce",49.022749,15.833248,845,0,U18509N2573,2\,,5728,d04bf364-0ce1-48bc-ab47-4bcdd3a97d65,1762549.10496362,6278722.30523981
U16849Z1,Skalka,49.035245,17.208693,687,0,U16849N2350,2\,,5729,f31579fb-ae02-43d0-9b46-5737b1276690,1915662.94197777,6280843.85042854
U16463Z4,"Bučovice, železniční stanice",49.146185,17.000292,645,0,U16463N399,2\,,5730,69485e9d-6c70-4583-9728-537eb31acc9f,1892463.84877696,6299702.42975127
U17528Z2,"Hoštice-Heroltice, Heroltice, náves",49.28575,17.058213,750,0,U17528N2439,2\,,5731,317e4e72-47ba-4311-bf29-565e957c882a,1898911.5850032,6323487.01365229
U17532Z2,"Pustiměř, ZŠ",49.322405,17.029862,750,0,U17532N2408,2\,,5732,bcd5a2ec-1ae2-45af-b345-430e79146dc6,1895755.56611972,6329744.89407654
U18009Z6,"Znojmo, autobusové nádraží",48.85175,16.056878,800,0,U18009N38,2\,11,5733,8e3425f8-243f-463e-9d45-0f5635e4a37e,1787443.48268972,6249743.80577151
U18403Z2,Častohostice,49.014441,15.81933,845,0,U18403N2574,2\,,5734,c3573078-8383-4236-8f3d-7fe8fa320d5e,1760999.76029076,6277312.08488666
U16850Z1,"Skalka, ZD",49.038252,17.207423,687,0,U16850N2351,2\,,5735,1d172b08-24a7-467d-9a89-c7ed604ed4e0,1915521.56622446,6281354.45225494
U16401Z9,"Bučovice, aut. st.",49.148057,17.001665,645,0,U16401N804,2\,8,5736,cd99e1c4-2ad8-4854-bb00-cda681bd5475,1892616.69043782,6300021.01107615
